fecha,long,lat,nro_huevos
14/11/2017,-31.82686,-60.51618,0
14/11/2017,-31.82731,-60.51542,0
14/11/2017,-31.82643,-60.51484,36
14/11/2017,-31.82541,-60.51482,0
14/11/2017,-31.82497,-60.51399,0
14/11/2017,-31.82674,-60.51413,0
15/11/2017,-31.82544,-60.51574,0
15/11/2017,-31.82448,-60.51537,0
31/10/2017,-31.82822,-60.51399,0
31/10/2017,-31.82881,-60.51573,0
31/10/2017,-31.82815,-60.51523,0
31/10/2017,-31.82795,-60.51634,0
31/10/2017,-31.82686,-60.51618,0
31/10/2017,-31.82731,-60.51542,0
31/10/2017,-31.82643,-60.51484,0
31/10/2017,-31.82541,-60.51482,0
31/10/2017,-31.82497,-60.51399,0
31/10/2017,-31.82674,-60.51413,0
31/10/2017,-31.82544,-60.51574,0
31/10/2017,-31.82448,-60.51537,0
